original,parody,reasoning
Thor,Bore,Norse god becomes tedious lecture - Th→B swap
Ant-Man,Aunt-Man,Tiny hero becomes family drama - homophone swap
Captain America,Captain Anemia,Patriotic hero becomes medical condition - mer→nem swap
Doctor Strange,Doctor Estranged,Sorcerer becomes divorced dad - Strange→Estranged
Black Widow,Black Window,Spy thriller becomes home renovation - W→Win swap
The Incredible Hulk,The Inedible Hulk,Smashing hero becomes bad cooking show - cr→ed swap
Blade Runner,Blade Punner,Sci-fi noir becomes dad joke movie - R→P swap
Back to the Future,Back to the Manure,Time travel becomes farming drama - Future→Manure
E.T. the Extra-Terrestrial,E.T. the Extra-Testicle,Family sci-fi becomes adult comedy - rrestrial→sticle
Ghostbusters,Toastbusters,Paranormal comedy becomes breakfast warfare - Gh→T swap
Indiana Jones,Indiana Bones,Adventure becomes skeleton archaeology - J→B swap
The Terminator,The Germinator,Cyborg action becomes hygiene drama - T→G swap
Robocop,Hobo Cop,Cyborg police becomes homeless law enforcement - R→H swap
Total Recall,Total Recoil,Sci-fi memory becomes gun safety video - c→co swap
Predator,Creditor,Alien hunter becomes debt collector - P→C swap
Rambo,Sambo,Action hero becomes dance movie - R→S swap
Rocky,Stocky,Boxing drama becomes body type comedy - R→St swap
The Exorcist,The Exercist,Horror becomes fitness obsession - or→er swap
A Nightmare on Elm Street,A Nightmare on Elm Treat,Horror becomes Halloween candy story - Street→Treat
Friday the 13th,Friday the Thirteenth,Horror becomes overly formal calendar movie - number spelled out
Halloween,Halloweiner,Slasher film becomes hot dog festival - een→einer
Scream,Stream,Slasher becomes content creator drama - Sc→St swap
The Texas Chain Saw Massacre,The Texas Chain Store Massacre,Horror becomes retail criticism - Saw→Store
Psycho,Typo,Hitchcock thriller becomes autocorrect comedy - Ps→T swap
Saw,Paw,Torture horror becomes pet movie - S→P swap
Get Out,Get Stout,Horror becomes beer appreciation film - Out→Stout
A Quiet Place,A Riot Place,Horror becomes protest movie - Qu→R swap
Bird Box,Turd Box,Survival horror becomes bathroom comedy - B→T swap
The Conjuring,The Conjuring,The Conjoining,Horror becomes surgery drama - jur→join swap
It,Spit,Clown horror becomes gross-out comedy - adding Sp-
Us,Bus,Horror becomes public transportation drama - adding B-
Midsommar,Midsummer,Folk horror becomes seasonal drama - Swedish→English
Hereditary,Hair-editary,Horror becomes genetic baldness drama - Her→Hair
The Witch,The Snitch,Period horror becomes informant drama - W→Sn swap
The Babadook,The Babashook,Horror becomes traumatized baby story - d→sh swap
Sinister,Minister,Horror becomes religious drama - S→M swap
Insidious,Inside-ious,Horror becomes interior design obsession - phonetic play
Annihilation,An-eye-hilation,Sci-fi horror becomes optometry disaster - phonetic play
The Shape of Water,The Grape of Water,Fantasy romance becomes wine-making story - Sh→Gr swap
Pan's Labyrinth,Plan's Labyrinth,Fantasy becomes project management nightmare - P→Pl swap
Spirited Away,Spit It Away,Anime classic becomes saliva comedy - Spirited→Spit It
Princess Mononoke,Princess Monotone,Anime epic becomes boring princess - noke→tone
Akira,A Kira,Anime cyberpunk becomes name introduction - phonetic split
Parasite,Paraslide,Social thriller becomes playground equipment drama - site→slide
Oldboy,Boldboy,Revenge thriller becomes confidence story - O→Bo swap
The Handmaiden,The Handmayhem,Thriller becomes chaos drama - maiden→mayhem
Train to Busan,Train to Susan,Zombie thriller becomes visiting aunt story - Busan→Susan
Battle Royale,Bottle Royale,Survival becomes wine competition - Ba→Bo swap
Crouching Tiger Hidden Dragon,Crouching Tiger Hidden Flagon,Martial arts becomes medieval drinking - Dragon→Flagon
Kill Bill Vol. 2,Chill Bill Vol. 2,Revenge sequel becomes relaxation guide - K→Ch swap
Reservoir Dogs,Reservoir Hogs,Crime thriller becomes pig farming drama - D→H swap
Django Unchained,Django Unchanged,Western becomes static character study - Un→Un same prefix different word
The Hateful Eight,The Grateful Eight,Western becomes thank-you note marathon - H→Gr swap
Once Upon a Time in Hollywood,Once Upon a Dime in Hollywood,Tarantino epic becomes budget filmmaking - T→D swap
